user_id,copy_id,rating
1,43,4
1,44,5
1,56,4
1,71,3
1,118,3
1,155,4
1,167,4
1,168,4
1,182,5
1,183,4
1,190,2
1,206,2
1,218,3
1,222,4
1,234,5
1,242,4
1,249,3
1,299,3
1,310,3
1,324,3
1,358,4
1,363,3
1,380,5
1,392,3
1,409,3
1,434,5
1,449,3
1,502,1
1,507,4
1,530,3
1,545,4
1,562,5
1,564,3
1,614,3
1,621,3
1,646,3
1,663,3
1,709,5
1,722,4
1,725,3
1,749,5
1,758,2
1,765,3
1,770,4
1,778,5
1,796,3
1,804,3
1,867,4
1,909,3
1,942,5
1,949,2
1,1047,4
1,1143,3
1,1154,3
1,1170,4
1,1203,4
1,1230,3
1,1245,4
1,1269,2
1,1369,1
1,1371,3
1,1385,5
1,1400,3
1,1443,3
1,1472,3
1,1560,3
1,1668,3
1,1768,3
1,1773,3
1,1797,4
1,1940,3
1,2050,3
1,2191,2
1,2251,4
1,2278,5
1,2370,4
1,2638,4
1,2679,2
1,2703,3
1,2718,4
1,3511,4
1,4696,3
1,4710,4
1,4900,4
1,5000,3
1,5513,4
1,5633,4
1,5689,5
1,5772,4
1,6464,4
1,6479,4
1,6509,5
1,7219,4
1,8401,5
1,9048,5
1,9678,4
1,9870,5
1,10701,3
1,11035,5
1,11354,4
1,11741,5
1,13991,5
1,14827,3
1,15148,3
1,15299,4
1,18256,5
1,18869,2
1,20127,3
1,21479,3
1,25478,1
1,25888,4
1,27115,3
1,28793,4
1,30823,3
1,34888,4
1,37001,4
2,5,5
2,13,5
2,31,4
2,43,5
2,70,5
2,85,5
2,106,5
2,122,5
2,124,5
2,130,5
2,133,4
2,142,5
2,153,3
2,168,4
2,298,5
2,354,3
2,429,5
2,437,5
2,608,5
2,644,5
2,660,4
2,694,4
2,705,5
2,707,5
2,721,5
2,862,5
2,1031,5
2,1126,5
2,1258,5
2,1397,5
2,1417,3
2,1556,5
2,1644,5
2,1650,2
2,1717,3
2,1963,5
2,3129,2
2,3441,5
2,3627,4
2,4280,3
2,5024,4
2,5101,5
2,6021,3
2,7983,5
2,9388,4
2,11765,5
2,11917,5
2,12781,3
2,14869,5
2,17313,3
2,18318,4
2,20760,5
2,22461,4
2,22566,4
2,35451,5
2,40193,5
2,40819,3
2,41141,5
2,44405,5
2,44506,4
2,47186,5
2,49035,5
2,51366,5
2,51621,4
2,53920,4
3,56,2
3,65,3
3,145,2
3,162,2
3,306,1
3,313,2
3,319,3
3,408,1
3,412,1
3,557,1
3,579,1
3,651,1
3,657,3
3,663,1
3,758,2
3,804,2
3,941,2
3,981,1
3,1223,2
3,1320,3
3,1368,2
3,1427,2
3,1639,1
3,2218,3
3,2274,1
3,2319,2
3,2563,1
3,2632,1
3,2741,1
3,2840,1
3,2885,2
3,3218,1
3,3283,1
3,3600,3
3,3607,1
3,3938,3
3,4043,1
3,4170,3
3,4203,2
3,4247,2
3,4425,1
3,4778,1
3,4935,2
3,5338,3
3,5473,2
3,5605,1
3,5858,3
3,5909,3
3,6241,1
3,7082,1
3,7619,1
3,8808,1
3,9150,2
3,9435,3
3,10621,2
3,10623,3
3,10769,1
3,11077,2
3,12053,2
3,12300,1
3,13239,2
3,14479,1
3,14831,1
3,16381,3
3,17902,1
3,18346,3
3,20476,1
3,22451,1
3,22620,5
3,23724,2
3,25865,1
3,26017,1
3,26473,2
